Instance,Average Time Variable Neighborhood Descent,Average Result Variable Neighborhood Descent
att48.tsp,0.13484604835510253,33786.05
berlin52.tsp,0.13953599214553833,7796.4699
kroA100.tsp,1.6739628410339356,21665.882
kroA150.tsp,11.26739533662796,27576.74
kroA200.tsp,32.31796908140183,30243.056
kroB100.tsp,2.132092180252075,22619.619
kroB150.tsp,12.108031511306763,26685.895
kroB200.tsp,39.21627976417542,30451.744
kroC100.tsp,2.084640934467316,21433.166
kroD100.tsp,2.653020884990692,21945.86
kroE100.tsp,1.7460277318954467,22448.116
lin105.tsp,1.813426833152771,14674.443000000001
pr107.tsp,3.190672059059143,44511.164
pr124.tsp,2.411404340267181,60113.931
pr136.tsp,8.80408591747284,100420.588
pr144.tsp,5.650327677726746,58753.937000000005
pr152.tsp,7.740276582241059,74658.146
pr76.tsp,0.7593317580223083,110466.82
rat195.tsp,36.19741832733154,2422.419
rat99.tsp,2.139278783798218,1273.9944
st70.tsp,0.5128906440734863,687.43595
