Instance,Average Time (s),Average Result
att48.tsp,57.693979263305664,35236.0
berlin52.tsp,69.29730534553528,7736.01
kroA100.tsp,468.70210695266724,23682.9
kroA150.tsp,1608.641630411148,30194.2
kroA200.tsp,4076.9490418434143,34966.4
kroB100.tsp,487.4859848022461,24382.4
kroB150.tsp,1612.2252445220947,31200.0
kroB200.tsp,3906.935124397278,35680.6
kroC100.tsp,479.951486825943,22219.0
kroD100.tsp,478.9635467529297,23716.5
kroE100.tsp,450.8546299934387,23787.6
lin105.tsp,590.0708694458008,16052.6
pr107.tsp,560.8124434947968,49182.1
pr124.tsp,941.9163558483124,63126.2
pr136.tsp,1266.8272178173065,105400.0
pr144.tsp,1473.9694120883942,63237.6
pr152.tsp,1702.63463139534,83474.9
pr76.tsp,215.79289627075195,115513.0
rat195.tsp,3670.4747755527496,3110.46
rat99.tsp,486.35336542129517,1370.38
st70.tsp,165.5052297115326,718.18
